Date,MarketReturn
19270607,1.230587661
19270608,1.234156365
19270609,1.234526612
19270610,1.229958863
19270611,1.228728904
19270614,1.210297971
19270615,1.221069623
19270616,1.228762361
19270617,1.230851257
19270618,1.229497321
19270620,1.227407176
19270621,1.223233991
19270622,1.223233991
19270623,1.212836502
19270624,1.214534473
19270625,1.213441392
19270627,1.198758751
19270628,1.2019954
19270629,1.202476198
19270630,1.201514217
19270701,1.209468241
19270702,1.216265453
19270705,1.226628035
19270706,1.234134998
19270707,1.231197757
19270708,1.229129345
19270709,1.23136636
19270711,1.236439589
19270712,1.240668213
19270713,1.244166897
19270714,1.249541698
19270715,1.252940452
19270716,1.255095509
19270718,1.257505293
19270719,1.260925707
19270720,1.266625091
19270721,1.266270436
19270722,1.265789253
19270723,1.26809299
19270725,1.273444342
19270726,1.276780766
19270727,1.277827727
19270728,1.279770025
19270729,1.285938516
19270730,1.29213674
19270801,1.299243492
19270802,1.307428726
19270803,1.299061182
19270804,1.311272357
19270805,1.303666978
19270806,1.302363311
19270808,1.288428023
19270809,1.300668089
19270810,1.30391976
19270811,1.29075017
19270812,1.270614467
19270813,1.282049998
19270815,1.298332033
19270816,1.306511524
19270817,1.310692361
19270818,1.311216638
19270819,1.313314585
19270820,1.318042517
19270822,1.32278747
19270823,1.323581143
19270824,1.326360663
19270825,1.326758571
19270826,1.329810116
19270827,1.328480306
19270829,1.32821461
19270830,1.327948967
19270831,1.321574812
19270901,1.332253137
19270902,1.340086785
19270903,1.346894426
19270906,1.359258917
19270907,1.365484322
19270908,1.36573011
19270909,1.357235268
19270910,1.363179959
19270912,1.358381565
19270913,1.376013358
19270914,1.380389081
19270915,1.383812446
19270916,1.3850302
19270917,1.381124415
19270919,1.376815307
19270920,1.384497937
19270921,1.382531949
19270922,1.366605181
19270923,1.373820857
19270924,1.382860598
19270926,1.370387195
19270927,1.373511678
19270928,1.368402215
19270929,1.370837971
19270930,1.388083112
19271001,1.395023528
19271003,1.398790091
19271004,1.39333481
19271005,1.389433473
19271006,1.392907056
19271007,1.382738835
19271008,1.378452344
19271010,1.371560083
19271011,1.372245863
19271013,1.381851584
19271014,1.381851584
19271015,1.382266139
19271017,1.364987813
19271018,1.36976527
19271019,1.358807148
19271020,1.345083196
19271021,1.334995072
19271022,1.325917105
19271024,1.33095559
19271025,1.352383975
19271026,1.353195405
19271027,1.347782624
19271028,1.328374554
19271029,1.321865519
19271031,1.332043883
19271101,1.332030563
19271102,1.345470751
19271103,1.360661116
19271104,1.360375377
19271105,1.367979875
19271107,1.377542055
19271109,1.366921206
19271110,1.370324839
19271111,1.382369995
19271112,1.387194466
19271114,1.394394005
19271115,1.396053334
19271116,1.395620558
19271117,1.397979156
19271118,1.406632647
19271119,1.410557152
19271121,1.403349205
19271122,1.408667899
19271123,1.412738949
19271125,1.416256669
19271126,1.416242506
19271128,1.405606525
19271129,1.414869472
19271130,1.421788184
19271201,1.415091562
19271202,1.418898158
19271203,1.424133892
19271205,1.418565529
19271206,1.41826763
19271207,1.411303936
19271208,1.399293739
19271209,1.415231695
19271210,1.416208205
19271212,1.424549671
19271213,1.430091169
19271214,1.42492854
19271215,1.432466412
19271216,1.442049613
19271217,1.442900422
19271219,1.447647564
19271220,1.447922617
19271221,1.447039384
19271222,1.446301394
19271223,1.449324164
19271224,1.451483657
19271227,1.451759439
19271228,1.443615069
19271229,1.445910417
19271230,1.452257963
19271231,1.457035892
19280103,1.463738257
19280104,1.461835398
19280105,1.451310183
19280106,1.460453437
19280107,1.462205981
19280109,1.449338568
19280110,1.437453992
19280111,1.439322682
19280112,1.446663228
19280113,1.45563254
19280114,1.446025365
19280116,1.433300342
19280117,1.435880283
19280118,1.431572642
19280119,1.439875763
19280120,1.448227042
19280121,1.451413142
19280123,1.460411903
19280124,1.464501057
19280125,1.449416696
19280126,1.457098604
19280127,1.46117848
19280128,1.454018706
19280130,1.448057229
19280131,1.452835818
19280201,1.449407126
19280202,1.455987434
19280203,1.439593015
19280204,1.440514355
19280206,1.443597056
19280207,1.439757087
19280208,1.441110459
19280209,1.447941323
19280210,1.446840887
19280211,1.446754077
19280214,1.441458957
19280215,1.437624676
19280216,1.433225545
19280217,1.409634652
19280218,1.403206718
19280220,1.401158036
19280221,1.416206474
19280223,1.419662017
19280224,1.424687621
19280225,1.426454234
19280227,1.419664311
19280228,1.42483189
19280229,1.433152908
19280301,1.436893437
19280302,1.438057321
19280303,1.445261988
19280305,1.454959696
19280306,1.460794084
19280307,1.454673357
19280308,1.460942999
19280309,1.479073302
19280310,1.475242502
19280312,1.481453273
19280313,1.477171873
19280314,1.479254685
19280315,1.490068037
19280316,1.504089577
19280317,1.507112797
19280319,1.509388537
19280320,1.515894002
19280321,1.529097439
19280322,1.523760889
19280323,1.535356709
19280324,1.536600348
19280326,1.551367077
19280327,1.546418216
19280328,1.547052248
19280329,1.550161823
19280330,1.573429752
19280331,1.56463428
19280402,1.551178425
19280403,1.560640613
19280404,1.559704229
19280405,1.577484857
19280409,1.583006054
19280410,1.57160841
19280411,1.59392525
19280412,1.590099829
19280413,1.612520237
19280414,1.6055864
19280416,1.614096008
19280417,1.603281564
19280418,1.603762549
19280419,1.613224748
19280420,1.591930181
19280423,1.580468284
19280424,1.586316017
19280425,1.598054755
19280426,1.608282306
19280427,1.62516927
19280428,1.633457633
19280430,1.634601053
19280501,1.639096206
19280502,1.640653348
19280503,1.647297994
19280504,1.666983205
19280507,1.678735436
19280508,1.669586328
19280509,1.670504601
19280510,1.667915319
19280511,1.681008454
